step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud
4,C1590346257,1,F,28007,M348934600,28007,transportation,37.23,0
4,C133401060,1,F,28007,M348934600,28007,transportation,11.57,0
4,C1129461636,1,M,28007,M1823072687,28007,transportation,52.46,0
4,C1475317372,1,F,28007,M1600850729,28007,fashion,59.41,0
4,C1787239285,1,F,28007,M855959430,28007,hyper,3.34,0
4,C1509718305,1,M,28007,M1872033263,28007,home,114.03,0
4,C1105086283,1,F,28007,M348934600,28007,transportation,38.52,0
4,C1718318682,1,F,28007,M1823072687,28007,transportation,36.42,0
4,C809708190,1,F,28007,M348934600,28007,transportation,49.46,0
4,C868933598,1,M,28007,M85975013,28007,food,79.73,0
4,C1786430014,1,F,28007,M1946091778,28007,wellnessandbeauty,52.91,0
4,C1491844959,1,F,28007,M348934600,28007,transportation,49.9,0
4,C1524407626,1,M,28007,M348934600,28007,transportation,32.34,0
5,C700940580,1,F,28007,M1823072687,28007,transportation,48.99,0
5,C1941160297,1,F,28007,M348934600,28007,transportation,8.06,0
5,C531360588,1,F,28007,M855959430,28007,hyper,54.36,0
5,C1079254393,1,F,28007,M209847108,28007,wellnessandbeauty,222.26,1
5,C1475317372,1,F,28007,M348934600,28007,transportation,29.15,0
5,C1475317372,1,F,28007,M1823072687,28007,transportation,5.15,0
5,C1615801620,1,M,28007,M348934600,28007,transportation,26.01,0
5,C868933598,1,M,28007,M1823072687,28007,transportation,17.25,0
5,C1760492708,1,F,28007,M1823072687,28007,transportation,21.28,0
5,C816519533,1,F,28007,M348934600,28007,transportation,16.13,0
5,C170484334,1,M,28007,M348934600,28007,transportation,7.1,0
5,C223315547,1,M,28007,M348934600,28007,transportation,14.77,0
5,C564489242,1,M,28007,M151143676,28007,barsandrestaurants,29.63,0
5,C817774765,1,M,28007,M348934600,28007,transportation,16.71,0
5,C1104044396,1,M,28007,M348934600,28007,transportation,16.49,0
5,C1434853621,1,F,28007,M348934600,28007,transportation,12.35,0
5,C1258211852,1,M,28007,M348934600,28007,transportation,27.81,0
5,C1098443227,1,M,28007,M50039827,28007,health,60.7,0
5,C33469777,1,M,28007,M348934600,28007,transportation,44.47,0
5,C1861439904,1,M,28007,M348934600,28007,transportation,7.43,0
5,C37682628,1,M,28007,M348934600,28007,transportation,79.35,0
5,C1681976106,1,M,28007,M348934600,28007,transportation,0.21,0
5,C1370556911,1,M,28007,M151143676,28007,barsandrestaurants,35.35,0
5,C1718318682,1,F,28007,M1823072687,28007,transportation,11.89,0
5,C1980302296,1,F,28007,M1823072687,28007,transportation,49.81,0
5,C1632932485,1,M,28007,M348934600,28007,transportation,14.45,0
5,C2063574289,1,F,28007,M348934600,28007,transportation,22.47,0
5,C1350793893,1,M,28007,M348934600,28007,transportation,9.12,0
5,C1425719203,1,F,28007,M348934600,28007,transportation,39.6,0
5,C1418322275,1,M,28007,M1823072687,28007,transportation,25.47,0
5,C236106052,1,M,28007,M1823072687,28007,transportation,27.74,0
5,C2144163136,1,F,28007,M348934600,28007,transportation,34.06,0
5,C1905402681,1,M,28007,M348934600,28007,transportation,25.94,0
5,C1002759277,1,F,28007,M348934600,28007,transportation,38.41,0
5,C378899672,1,F,28007,M1823072687,28007,transportation,23.91,0
